Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input6.csv,79,24,201,0,2.138095,1.953705,321.000000,0.00,197,lns,2026-01-15_18:09:41
input14.csv,99,28,3785,0,168.117823,163.203370,329.000000,0.00,3785,lns,2026-01-15_18:09:43
input15.csv,94,30,1424,0,77.094765,75.469655,416.000000,0.00,1340,lns,2026-01-15_18:12:31
input21.csv,104,31,1262,0,3.095729,1.509484,378.000000,0.00,111,lns,2026-01-15_18:13:48
input22.csv,133,41,84738,33000,400.044269,200.405198,628.000000,0.48,15206,relaxation,2026-01-15_18:13:51
input23.csv,118,35,569,0,12.501586,11.343269,444.000000,0.00,569,lns,2026-01-15_18:20:31
input27.csv,125,39,198,0,7.311585,6.499880,464.000000,0.00,198,lns,2026-01-15_18:20:44
input29.csv,103,39,432,0,19.389803,18.619013,516.000000,0.00,431,lns,2026-01-15_18:20:51
input33.csv,104,36,134965,539,400.029504,200.120435,413.000000,0.24,2103,lns,2026-01-15_18:21:11
input38.csv,62,22,128,0,0.281076,0.184968,247.000000,0.00,98,lns,2026-01-15_18:27:51
