Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input6.csv,79,24,201,0,2.143184,1.958388,321.000000,0.00,197,lns,2026-01-15_17:30:26
input14.csv,99,28,14127,0,68.467023,50.070188,329.000000,0.00,14127,relaxation,2026-01-15_17:30:28
input15.csv,94,30,246465,59819,400.023765,50.245404,416.000000,0.73,187826,relaxation,2026-01-15_17:31:37
input21.csv,104,31,1262,0,3.039463,1.462442,378.000000,0.00,111,lns,2026-01-15_17:38:17
input22.csv,133,41,146241,25100,400.044130,50.282485,628.000000,0.32,128989,relaxation,2026-01-15_17:38:20
input23.csv,118,35,569,0,12.803560,11.634545,444.000000,0.00,569,lns,2026-01-15_17:45:00
input27.csv,125,39,198,0,7.343419,6.534461,464.000000,0.00,198,lns,2026-01-15_17:45:13
input29.csv,103,39,432,0,19.418628,18.636199,516.000000,0.00,431,lns,2026-01-15_17:45:21
input33.csv,104,36,177693,45505,400.031544,50.308566,413.000000,0.49,52600,relaxation,2026-01-15_17:45:40
input38.csv,62,22,128,0,0.282021,0.185235,247.000000,0.00,98,lns,2026-01-15_17:52:20
