Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input6.csv,79,24,201,0,2.399792,2.199137,321.000000,0.00,197,lns,2026-01-15_17:02:59
input14.csv,99,28,8457,0,22.310063,10.071752,329.000000,0.00,8457,relaxation,2026-01-15_17:03:01
input15.csv,94,30,261187,63056,400.023632,10.207047,416.000000,0.73,187826,relaxation,2026-01-15_17:03:23
input21.csv,104,31,1262,0,3.024740,1.456431,378.000000,0.00,111,lns,2026-01-15_17:10:04
input22.csv,133,41,162547,29161,400.042386,10.244390,628.000000,0.32,128989,relaxation,2026-01-15_17:10:07
input23.csv,118,35,683,0,11.414867,10.028259,444.000000,0.00,683,relaxation,2026-01-15_17:16:47
input27.csv,125,39,198,0,7.446981,6.633897,464.000000,0.00,198,lns,2026-01-15_17:16:58
input29.csv,103,39,367874,4347,400.031619,10.337305,516.000000,0.19,3499,relaxation,2026-01-15_17:17:06
input33.csv,104,36,186513,48110,400.030161,10.274132,413.000000,0.49,52600,relaxation,2026-01-15_17:23:46
input38.csv,62,22,128,0,0.282486,0.183954,247.000000,0.00,98,lns,2026-01-15_17:30:26
