Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input5.csv,214,69,0.10,17453,0,117.712023,247527415,10.891282,0,17453,relaxation
input9.csv,104,35,0.10,15724,0,25.914032,51164562,10.069384,0,15597,relaxation
input15.csv,94,30,0.10,283753,68072,400.024081,699004060,10.202272,0,187826,relaxation
input18.csv,121,38,0.10,184145,0,303.510465,74453945,10.135929,1,184145,relaxation
input26.csv,114,38,0.10,16292,0,42.266065,76553790,10.131240,0,16292,relaxation
input29.csv,103,39,0.10,377908,4494,400.032219,127640766,10.325702,1,3499,relaxation
input34.csv,161,54,0.10,7210,0,23.734476,140956505,4.272938,1,7205,lns
input39.csv,130,43,0.10,64884,0,111.084734,99309130,10.209626,0,64884,relaxation
input41.csv,137,42,0.10,149283,79516,400.046024,1281329838,10.127059,0,10221,relaxation
input42.csv,142,35,0.10,1029,0,7.886558,81778180,5.138806,1,1029,lns
