Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input5.csv,214,69,0.10,1504,0,51.908218,234754381,43.456476,1,1471,lns
input9.csv,104,35,0.10,9967,0,42.957971,47842358,33.041321,1,9762,lns
input15.csv,94,30,0.10,1424,0,76.048808,39269592,74.405784,1,1340,lns
input18.csv,121,38,0.10,111,0,24.890264,66095265,24.345209,1,109,lns
input26.csv,114,38,0.10,2055,0,22.559898,68656544,18.769373,1,2027,lns
input29.csv,103,39,0.10,432,0,19.035451,54812450,18.260842,1,431,lns
input34.csv,161,54,0.10,7210,0,23.696083,140956505,4.288974,1,7205,lns
input39.csv,130,43,0.10,12749,0,218.124803,96187627,200.185939,1,12749,relaxation
input41.csv,137,42,0.10,121912,833,400.045661,119460563,200.152304,1,339,lns
input42.csv,142,35,0.10,1029,0,7.984627,81778180,5.159262,1,1029,lns
