Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input11.csv,100,31,0.10,1297,0,1.596789,41800598,teste_relax.config,0,1297,relaxation
input15.csv,94,30,0.10,270601,65163,400.026682,669176164,teste_relax.config,0,187826,relaxation
input16.csv,89,28,0.10,2893,0,3.033053,31245197,teste_relax.config,0,2777,relaxation
input19.csv,95,29,0.10,1488,0,2.015008,35417518,teste_relax.config,0,1478,relaxation
input23.csv,118,35,0.10,683,0,1.431142,61459191,teste_relax.config,0,683,relaxation
input27.csv,125,39,0.10,2290,0,4.372594,79481522,teste_relax.config,0,2290,relaxation
input32.csv,97,36,0.10,220142,4667,400.032830,152219988,teste_relax.config,0,129760,relaxation
input36.csv,185,60,0.10,537,0,3.813956,173371259,teste_relax.config,0,537,relaxation
input38.csv,62,22,0.10,201,0,0.175232,15802340,teste_relax.config,0,172,relaxation
input42.csv,142,35,0.10,2736,0,7.059178,83919027,teste_relax.config,0,2736,relaxation
