Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.75,201,0,2.111335,23150557,1.932593,1,197,lns
input7.csv,84,29,0.75,323755,70327,400.020617,644582325,30.171287,0,119381,relaxation
input10.csv,113,31,0.75,397,0,2.813132,44262148,2.323274,1,396,lns
input14.csv,99,28,0.75,14127,0,47.711302,42475215,30.059834,1,14127,relaxation
input22.csv,133,41,0.75,162353,29103,400.052078,541098509,30.256307,0,128989,relaxation
input27.csv,125,39,0.75,198,0,7.066558,77925825,6.266020,1,198,lns
input28.csv,114,39,0.75,88282,0,160.759606,74550439,30.230147,1,88282,relaxation
input31.csv,113,40,0.75,169,0,4.934251,68381971,4.279723,1,56,lns
input36.csv,185,60,0.75,246,0,11.577860,173715899,10.134967,1,93,lns
input41.csv,137,42,0.75,149579,79702,400.044955,1283763926,30.129661,0,10221,relaxation
