Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.100,201,0,2.095331,23150557,1.917648,1,197,lns
input7.csv,84,29,0.100,323227,70161,400.021324,642753045,30.161493,0,119381,relaxation
input10.csv,113,31,0.100,397,0,2.819207,44262148,2.330373,1,396,lns
input14.csv,99,28,0.100,14127,0,47.597967,42475215,30.062080,1,14127,relaxation
input22.csv,133,41,0.100,163747,29505,400.054284,546103813,30.254412,0,128989,relaxation
input27.csv,125,39,0.100,198,0,7.116075,77925825,6.308523,1,198,lns
input28.csv,114,39,0.100,88282,0,159.548155,74550439,30.222455,1,88282,relaxation
input31.csv,113,40,0.100,169,0,4.966465,68381971,4.315908,1,56,lns
input36.csv,185,60,0.100,246,0,11.689020,173715899,10.238776,1,93,lns
input41.csv,137,42,0.100,147844,78689,400.045533,1269603710,30.125931,0,10221,relaxation
