Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.25,201,0,2.182618,23150557,1.984602,1,197,lns
input7.csv,84,29,0.25,322943,70097,400.022109,642327421,30.167221,0,119381,relaxation
input10.csv,113,31,0.25,397,0,2.796308,44262148,2.310432,1,396,lns
input14.csv,99,28,0.25,14127,0,47.785967,42475215,30.057641,1,14127,relaxation
input22.csv,133,41,0.25,164582,29681,400.043765,549027429,30.261536,0,128989,relaxation
input27.csv,125,39,0.25,198,0,6.971469,77925825,6.169124,1,198,lns
input28.csv,114,39,0.25,88282,0,161.299432,74550439,30.226894,1,88282,relaxation
input31.csv,113,40,0.25,169,0,5.029641,68381971,4.375194,1,56,lns
input36.csv,185,60,0.25,246,0,11.720811,173715899,10.283287,1,93,lns
input41.csv,137,42,0.25,148762,79219,400.045056,1276234822,30.125173,0,10221,relaxation










