Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input2.csv,167,52,596,0,16.978665,14.463095,710.000000,0.00,588,lns,2026-01-14_10:09:28
input5.csv,214,69,17453,0,145.705076,30.915940,1008.000000,0.00,17453,relaxation,2026-01-14_10:09:45
input6.csv,79,24,201,0,2.332401,2.136702,321.000000,0.00,197,lns,2026-01-14_10:12:10
input7.csv,84,29,286226,61056,400.020896,30.204004,335.000000,0.60,119381,relaxation,2026-01-14_10:12:13
input9.csv,104,35,40138,0,72.565404,30.098141,480.000000,0.00,40138,relaxation,2026-01-14_10:18:53
input13.csv,100,34,30940,0,59.037296,30.126036,490.000000,0.00,30127,relaxation,2026-01-14_10:20:05
input19.csv,95,29,208,0,1.415781,1.049248,359.000000,0.00,112,lns,2026-01-14_10:21:05
input20.csv,104,37,1663,0,4.594674,2.283238,411.000000,0.00,38,lns,2026-01-14_10:21:06
input26.csv,114,38,2055,0,24.806453,20.809021,482.000000,0.00,2027,lns,2026-01-14_10:21:11
input34.csv,161,54,7210,0,26.383150,4.690394,648.000000,0.00,7205,lns,2026-01-14_10:21:36
